State,Population,Area
Baden-Württemberg,11280 257,"35747,85"
Bayern,13369 393,"70541,58"
Berlin,3755 251,"891,12"
Brandenburg,2573 135,"29654,38"
Bremen,684864,"419,61"
Hamburg,1892 122,"755,09"
Hessen,6391 360,"21115,62"
Mecklenburg-Vorpommern,1628 378,"23294,90"
Niedersachsen,8140 242,"47709,90"
Nordrhein-Westfalen,18139 116,"34112,72"
Rheinland-Pfalz,4159 150,"19857,97"
Saarland,992666,"2571,52"
Sachsen,4086 152,"18449,86"
Sachsen-Anhalt,2186 643,"20467,20"
Schleswig-Holstein,2953 270,"15804,30"
Thüringen,2126 846,"16202,37"